n_factors,reg_all,val_rmse,val_mae
20,0.02,1.1245145064447302,0.8444411524840088
50,0.02,1.1247134470845979,0.8421551268989291
100,0.02,1.1275054891557963,0.8439164993961777
50,0.08,1.1435694911829017,0.8673626998757621
