model,precision,recall,ndcg,coverage
cf,0.023,0.026818138651145,0.0332160159953617,0.0412358290768655
content,0.0395,0.0796247169390711,0.0631725436115837,0.0961754079980067
hybrid,0.0545,0.0809486050295066,0.076896531490062,0.0164444998131306
